A = {a,b,c}. Если Р - слово четной длины, то выдать ответ а, иначе - пустое слово.;;;;;;;;;;
;;;;;;;;;;
;a;b;c;_;комментарий :;;;;;
q0;a,R,q1;b,R,q1;c,R,q1;,L,q3;;;;;;
q1;a,R,q0;a,R,q1;c,R,q0;,L,q2;;;;;;
q2;,L,q2;,L,q2;,L,q2;!;;;;;;
q3;,L,q3;,L,q3;,L,q3;a,N,!;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;abc;;;;;;;ab;
1;q0;abc;a,R,q1;;;;1;q0;ab;a,R,q1
2;q1;abc;b,R,q0;;;;2;q1;ab;b,R,q0
3;q0;abc;c,R,q1;;;;3;q0;ab_;,L,q3
4;q1;abc_;,L,q2;;;;4;q3;ab;,L,q3
5;q2;abc;,L,q2;;;;5;q3;a;,L,q3
6;q2;ab;,L,q2;;;;6;q3;_;a,N,!
7;q2;a;,L,q2;;;;7;!;a;
8;q2;_;!;;;;;;;
9;!;_;;;;;;;;
