;a;b;λ
q0;"λ,L,q1","λ,L,q15",",,"
q1;",,",",,","a,L,q2"
q2;",,",",,","a,N,q3"
q3; ",R,",",R,","λ,N,q4"
q4;"a,R,q5","b,R,q10",",R,"
q5;"a,L,q17","b,L,q17","λ,L,q6"
q6;"λ,N,q7",",,",",,"
q7;"a,N,q8","b,N,q8",",L,"
q8;",L,",",L,","a,L,q9"
q9;",,",",,","a,L,!"
q10;"a,L,q21","b,L,q21","λ,L,q11"
q11;",,","λ,N,q12",",,"
q12;"a,N,q13","b,N,q13",",L,"
q13;",L,",",L,","b,L,q14"
q14;",,",",,","b,N,!"
q15;",,",",,","b,L,q16"
q16;",,",",,","b,N,q4"
q17;"λ,L,q18",",,",",,"
q18;"a,N,q19","b,N,q19",",L,"
q19;",L,",",L,",",a,L,q20"
q20;",,",",,","a,N,q3"
q21;",,","λ,L,q22",",,"
q22;"a,N,q23","b,N,q23",",L,"
q23;",L,",",L,","b,L,q24"
q24;",,",",,","b,N,q3"
